Course Code,INDEX,TYPE,GROUP,DAY,TIME
AB0403,540,SEM,1,MON,0830-1020
AB0403,541,SEM,2,MON,1030-1220
AB0403,542,SEM,3,MON,1430-1620
AB0403,543,SEM,4,MON,1630-1820
AB0403,544,SEM,5,TUE,0830-1020
AB0403,545,SEM,6,TUE,1030-1220
AB0403,546,SEM,7,TUE,1430-1620
AB0403,547,SEM,8,TUE,1630-1820
AB0403,548,SEM,9,TUE,1030-1220
AB0403,549,SEM,10,FRI,1430-1620
AB0403,550,SEM,11,FRI,1630-1820
AB0403,551,SEM,12,THU,0830-1020
AB0403,552,SEM,13,THU,1030-1220
AB0403,553,SEM,14,THU,1430-1620
AB0403,554,SEM,15,THU,1630-1820
AB0403,555,SEM,16,THU,0830-1020
AB0403,556,SEM,17,FRI,1030-1220
AB0602,810,SEM,1,TUE,0830-1220
AB0602,811,SEM,2,TUE,0830-1220
AB0602,812,SEM,3,TUE,0830-1220
AB0602,813,SEM,4,TUE,0830-1220
AB0602,814,SEM,5,TUE,0830-1220
AB0602,815,SEM,6,TUE,0830-1220
AB0602,816,SEM,7,TUE,1430-1820
AB0602,817,SEM,8,TUE,1430-1820
AB0602,818,SEM,9,TUE,1430-1820
AB0602,819,SEM,10,TUE,1430-1820
AB0602,820,SEM,11,TUE,1430-1820
AB0602,821,SEM,12,TUE,1430-1820
AB0602,822,SEM,13,WED,0830-1220
AB0602,824,SEM,15,WED,0830-1220
AB0602,825,SEM,16,WED,0830-1220
AB0602,826,SEM,17,WED,0830-1220
AB0602,827,SEM,18,WED,0830-1220
AB0602,828,SEM,19,WED,1430-1820
AB0602,829,SEM,20,WED,1430-1820
AB0602,830,SEM,21,WED,1430-1820
AB0602,831,SEM,22,WED,1430-1820
AB0602,832,SEM,23,WED,1430-1820
AB0602,833,SEM,24,WED,1430-1820
AB0602,834,SEM,25,THU,0830-1220
AB0602,837,SEM,28,THU,0830-1220
AB0602,838,SEM,29,THU,0830-1220
AB0602,839,SEM,30,THU,0830-1220
AB0602,840,SEM,31,THU,1430-1820
AB0602,841,SEM,32,THU,1430-1820
AB0602,842,SEM,33,THU,1430-1820
AB0602,843,SEM,34,THU,1430-1820
AB0602,844,SEM,35,THU,1430-1820
AB2008,1090,LEC/STUDIO,1,THU,0830-1220
AB2008,1090,SEM,1,MON,1030-1220
AB2008,1091,LEC/STUDIO,1,THU,0830-1220
AB2008,1091,SEM,2,MON,1230-1420
AB2008,1092,LEC/STUDIO,1,THU,0830-1220
AB2008,1092,SEM,3,TUE,1030-1220
AB2008,1093,LEC/STUDIO,1,THU,0830-1220
AB2008,1093,SEM,4,TUE,1230-1420
AB2008,1094,LEC/STUDIO,1,THU,0830-1220
AB2008,1094,SEM,5,WED,1030-1220
AB2008,1095,LEC/STUDIO,1,THU,0830-1220
AB2008,1095,SEM,6,WED,1430-1620
AB2008,1096,LEC/STUDIO,1,THU,0830-1220
AB2008,1096,SEM,7,THU,1230-1420
AB2008,1097,LEC/STUDIO,1,THU,0830-1220
AB2008,1097,SEM,8,THU,1430-1620
AB2008,1098,LEC/STUDIO,1,THU,0830-1220
AB2008,1098,SEM,9,THU,1630-1820
AB2008,1099,LEC/STUDIO,1,THU,0830-1220
AB2008,1099,SEM,10,FRI,0830-1020
AB2008,1100,LEC/STUDIO,1,THU,0830-1220
AB2008,1100,SEM,11,FRI,1030-1220
AB2008,1101,LEC/STUDIO,1,THU,0830-1220
AB2008,1101,SEM,12,FRI,1230-1420
AB2008,1102,LEC/STUDIO,1,THU,0830-1220
AB2008,1102,SEM,13,FRI,1430-1620
AC2401,560,SEM,1,MON,1430-1820
AC2401,561,SEM,2,TUE,0830-1220
AC2401,562,SEM,3,TUE,1430-1820
AC2401,563,SEM,4,WED,1430-1820
AC2401,564,SEM,5,THU,1430-1820
AD2101,120,SEM,1,MON,0830-1120
AD2101,121,SEM,2,MON,0830-1120
AD2101,122,SEM,3,MON,1330-1620
AD2101,123,SEM,4,TUE,0830-1120
AD2101,124,SEM,5,TUE,1330-1620
AD2101,125,SEM,6,WED,0830-1120
AD2101,126,SEM,7,WED,1430-1720
AD2101,127,SEM,8,THU,0830-1120
AD2101,128,SEM,9,THU,1330-1620
AD2101,129,SEM,10,THU,0830-1120
AD2101,130,SEM,11,THU,1330-1620
AD2101,131,SEM,12,FRI,0830-1120
AD2102,140,SEM,1,MON,0830-1120
AD2102,141,SEM,2,MON,0830-1120
AD2102,142,SEM,3,MON,1330-1620
AD2102,143,SEM,4,TUE,0830-1120
AD2102,144,SEM,5,TUE,1330-1620
AD2102,145,SEM,6,WED,0830-1120
AD2102,146,SEM,7,WED,1430-1720
AD2102,147,SEM,8,THU,0830-1120
AD2102,148,SEM,9,THU,1330-1620
AD2102,149,SEM,10,THU,0830-1120
AD2102,150,SEM,11,THU,1330-1620
AD2102,151,SEM,12,FRI,0830-1120
BC2407,570,SEM,1,MON,0930-1220
BC2407,571,SEM,2,MON,1430-1720
BC2407,572,SEM,3,WED,0930-1220
BC2407,573,SEM,4,WED,1430-1720
BC2407,574,SEM,5,THU,1430-1720
BC2407,575,SEM,6,THU,1830-2120
BC2408,580,SEM,1,THU,0930-1220
BC2408,581,SEM,2,FRI,0930-1220
BC2409,585,SEM,1,THU,0930-1220
BC2409,586,SEM,2,FRI,0930-1220
BC2410,590,SEM,1,MON,0930-1220
BC2410,591,SEM,2,MON,1430-1720
BC2410,592,SEM,3,TUE,1830-2120
BC2411,595,SEM,1,MON,0930-1220
BC2411,596,SEM,2,MON,1430-1720
BC2411,597,SEM,3,TUE,1830-2120
BC3402,600,SEM,1,TUE,0930-1220
BC3402,601,SEM,2,TUE,1430-1720
BC3406,610,SEM,1,WED,0930-1220
BC3407,615,SEM,1,MON,0930-1220
BC3409,620,SEM,1,TUE,0930-1220
BC3409,621,SEM,2,TUE,1430-1720
BC3409,622,SEM,3,WED,1430-1720
BC3409,623,SEM,4,THU,1430-1720
BC3410,605,SEM,1,TUE,0930-1220
BC3410,606,SEM,2,TUE,1430-1720
BC3412,611,SEM,1,WED,0930-1220
BC3413,616,SEM,1,MON,0930-1220
BC3415,625,SEM,1,TUE,0930-1220
BC3415,626,SEM,2,TUE,1430-1720
BC3415,627,SEM,3,WED,1430-1720
BC3415,627,SEM,3,TUE,1430-1720
BC3415,628,SEM,4,THU,1430-1720
BE1401,630,SEM,1,MON,0830-1120
BE1401,631,SEM,2,MON,0830-1120
BE1401,632,SEM,3,MON,1430-1720
BE1401,633,SEM,4,MON,1430-1720
BE1401,634,SEM,5,TUE,0830-1120
BE1401,635,SEM,6,TUE,1430-1720
BE1401,636,SEM,7,TUE,1430-1720
BE1401,637,SEM,8,WED,0830-1120
BE1401,638,SEM,9,WED,0830-1120
BE1401,639,SEM,10,WED,1430-1720
BE1401,640,SEM,11,WED,1430-1720
BE1401,641,SEM,12,TUE,0830-1120
BE1401,642,SEM,13,THU,1430-1720
BE1401,643,SEM,14,FRI,0830-1120
BE1401,644,SEM,15,WED,1430-1720
BE1401,645,SEM,16,FRI,1430-1720
BE1401,646,SEM,17,WED,0830-1120
BE1401,647,SEM,18,WED,1430-1720
BE1402,650,SEM,1,MON,0830-1120
BE1402,651,SEM,2,MON,0830-1120
BE1402,652,SEM,3,MON,1430-1720
BE1402,653,SEM,4,MON,1430-1720
BE1402,654,SEM,5,TUE,0830-1120
BE1402,655,SEM,6,TUE,1430-1720
BE1402,656,SEM,7,TUE,1430-1720
BE1402,657,SEM,8,WED,0830-1120
BE1402,658,SEM,9,WED,0830-1120
BE1402,659,SEM,10,WED,1430-1720
BE1402,660,SEM,11,WED,1430-1720
BE1402,661,SEM,12,TUE,0830-1120
BE1402,662,SEM,13,THU,1430-1720
BE1402,663,SEM,14,FRI,0830-1120
BE1402,664,SEM,15,WED,1430-1720
BE1402,665,SEM,16,FRI,1430-1720
BE1402,666,SEM,17,WED,0830-1120
